panel_id,Major OTT,Minor OTT,YouTube,쇼핑,스포츠,cluster
P0360066,2.284088,0.217721,1.568605,75.22222,0,2
P0360202,0.334246,0,0.152858,5.115385,0,0
P0360459,0.132993,0,3.887885,14.88889,0,2
P0360550,1.329878,0.036787,15.13674,31.70833,0,2
P0360809,0.236176,0,67.40207,3.863636,0,0
P0361059,2.969737,0,16.31565,7.444444,0,1
P0361588,2.079635,0,0.60544,16.11111,0,2
P0361594,2.556296,0,5.085608,8.185185,0,0
P0362628,0.003064,0,4.813344,17.96154,0,0
P0363287,0.893849,0,13.03617,18.37037,0,2
P0363313,2.334215,0,1.454687,11.40741,0,0
P0363719,5.733358,0,3.665187,20.92593,0,2
P0363933,0.829651,0,0.941421,22.7037,0.010727,1
P0363934,0.072687,0,8.045722,35.55556,0,2
P0363957,0.01499,0.083698,22.80489,7.884615,0,1
P0364164,0.028412,0,3.921433,24.37037,0,2
P0364489,9.737264,0.267024,15.62396,6.615385,0,0
P0364617,2.968395,0,31.83439,1.375,0,1
P0364682,5.095202,0.013907,8.246479,9.6875,0,0
P0364733,11.57764,0,5.011634,6.296296,0,0
P0365155,0.119526,0.076016,21.22813,1.761905,0.40931,0
P0365253,7.42553,0,7.425491,4.185185,0,1
P0365702,0.947652,0,2.340727,45.40741,0,0
P0365764,3.007759,0.695649,2.879504,5.444444,0,1
P0365882,0.002401,2.54526,3.026921,27.2963,0,2
P0365913,1.336862,0.211243,2.971359,4.884615,0.428488,0
P0366386,0.102997,0.000566,0.821383,43.48148,0,2
P0366504,0.116815,0.252969,0.37742,24.66667,0.033059,2
P0366562,9.876362,0,16.11675,7.625,0,2
P0366696,0.521355,0,2.787234,9.230769,0,0
P0367156,1.052175,0.104149,2.884807,22.40741,2.186276,2
P0367271,1.241525,0,5.658705,25.96296,0,2
P0367273,0.333026,3.17E-05,8.995921,7.962963,0,1
P0367597,0.265513,0,0.267464,53.74074,0,2
P0368149,5.381957,0,13.09142,6.37037,0,1
P0368622,3.644294,0,2.618394,16.55556,0,2
P0368695,0.560447,0,2.800921,6.925926,0,0
P0368714,5.082096,3.218797,5.760445,35.14815,0,0
P0368791,0.273162,0,3.420499,28.22222,0,2
P0368822,0.057934,0,27.49311,11.96296,0,1
P0368919,0.820121,0.209115,2.434853,4.777778,0,0
P0369218,2.089796,0,1.199145,2.470588,0,1
P0369334,0.709468,0,0.419924,48.03704,0.001433,1
P0369590,0.787177,0,5.615108,2.833333,0,2
P0369827,0.317691,0,0.498176,18.85185,0,1
P0369832,0.446762,0,23.59608,27.51852,0.000508,2
P0369866,0.276457,0.000815,14.82885,49.22222,0,2
P0369907,0.195149,0.115509,3.794028,13.40741,0.145991,0
P0369948,0.087736,0,16.63998,10.40741,0,0
P0370365,3.108655,0.367163,7.728721,58.7037,0,2
P0370376,0.085002,0,0.253928,4.76,0,0
P0370706,0.002928,0,19.17722,3,0.767418,1
P0370874,3.04018,0,0.976643,17.25926,0.379686,0
P0370904,0.831445,0.408051,4.72952,8.961538,0.798055,1
P0371107,0.063078,0,10.99158,25.74074,0,1
P0371345,0.944539,0.032225,5.932252,4.576923,0,0
P0371406,0.72385,0,4.138964,16.81481,0,2
P0371640,0.008344,0.228449,9.20402,8.590909,1.242814,3
P0371645,0.119103,0.00777,5.571514,45.11111,0.170435,2
P0371656,3.457912,0,12.65075,18.11111,0,2
P0371849,0.029604,0.240072,0.462524,54.11111,0.019842,3
P0371863,0.387744,0,13.72209,6.666667,0,1
P0372275,1.194898,0,0.05459,27.7037,0,0
P0372332,20.11149,0,2.824733,25.14815,0.020983,3
P0372389,0.047683,0,4.754282,21.55556,0,3
P0372401,0.000254,0,0.015309,47.40741,0,2
P0372410,0.487874,0,8.435795,13.2963,0,2
P0372524,4.143253,0,9.971258,4.888889,0,0
P0372583,0.044618,0.049504,1.002008,21.25926,0,0
P0372780,0.537434,0,1.828372,23.48148,0,2
P0372830,3.474749,0,5.076229,26.44444,0,2
P0372841,0.043605,0.02899,0.0234,11.40741,0,0
P0372965,8.503908,2.403504,0.761978,9.269231,0,0
P0372984,0.590481,0.000378,0.758126,12.96296,0,0
P0373298,0.035496,0,0.615167,17.74074,0,0
P0373347,0.000643,0,0.112337,8.925926,0,1
P0373355,0.48436,0,1.483224,12.77778,0,0
P0373480,13.56007,0.030404,12.14389,11.11111,0.036945,0
P0373682,0.001069,0.132106,0.213672,35.92593,0,3
P0373794,0.57845,0.315057,1.273832,55.62963,0,2
P0373833,0.506769,0,17.06121,32.03704,0,2
P0374023,0.108559,0,8.878653,8.444444,0,1
P0374074,0.060498,0,1.543864,54.18519,0,0
P0374099,0.571144,0,2.057105,65.2963,0,2
P0374225,15.58385,0,1.302284,8.444444,0,0
P0374320,0.701183,1.232449,15.65692,0,0,1
P0374321,0.054263,0,0.008063,42.25926,0,0
P0374415,0.556123,0,0.757721,8.111111,0,0
P0374486,0.051804,0,2.111194,34.62963,0,3
P0374489,14.13802,0.55096,44.86321,4.708333,0,1
P0374514,1.654991,0,5.202591,18.22222,0,0
P0374649,4.476962,0.003838,7.61121,22.55556,0,2
P0374686,1.27038,0.525584,1.352793,14.25926,0.146318,1
P0374720,3.06819,0,1.076987,30.55556,0.054672,0
P0375154,2.020093,0,23.08233,4.44,0,1
P0375226,0.404265,0,13.15475,0,0,2
P0375472,1.183821,0,9.088904,35.7037,0,2
P0375701,6.500025,0,0.1028,8.481481,0,0
P0376294,2.671811,0.013627,6.253815,27.11111,0,0
P0376386,13.11655,5.788268,43.69149,10.7037,0,1
P0376387,1.366593,0,10.59964,16.74074,0,1
P0376486,0.229037,0.168573,43.83117,7.6,0,1
P0376534,1.635012,0,0.498069,14.18519,0,0
P0376612,3.900197,0,1.847533,18.18519,0,3
P0376662,0.009405,0,1.355948,5.230769,0,2
P0376676,4.864392,0,0.294312,27.18519,0,0
P0376685,1.046892,1.648041,94.29247,1.666667,0,1
P0376750,0.023302,0,9.699164,9.074074,0,1
P0376865,1.324457,0,37.79124,26.62963,0,0
P0376920,14.35078,0,5.945992,42.81481,0,2
P0376978,0.143211,0,0.309448,13,0,1
P0377061,0.380675,0.369958,17.23989,20.88889,0,0
P0377273,8.537477,0,5.442119,4.461538,0,1
P0377565,0.002628,0,0.288785,20.37037,0,2
P0377770,0.55884,0,24.64802,7.086957,0,1
P0377996,3.189691,0.435533,8.494333,4.730769,0.97726,0
