,미디어_TV_장르_1~3순위,,,미디어_OTT,미디어_동영상 콘텐츠_장르,,,,,,,,,,,,,
panel_id,1순위,2순위,3순위,사용_OTT_수,드라마/영화,음악/댄스,푸드/먹방/레시피,뉴스/시사/정치,게임,스포츠경기,예능,연예계소식,여행,뷰티,동물,운동,학습/강의/업무,일상및토크
A0000033,2,1,8,2,1,1,0,1,0,0,1,0,1,0,0,1,0,0
A0001203,3,9,1,2,1,1,0,0,0,0,1,0,0,0,0,1,1,1
A0001542,7,2,3,3,1,0,0,1,0,1,1,0,1,0,0,1,1,1
A0001620,3,2,4,2,1,0,0,1,1,0,1,0,1,0,1,0,0,0
A0001774,1,3,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
A0001920,1,8,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
A0002221,3,9,8,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
A0002325,2,1,3,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0
A0003503,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
A0003768,3,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1
A0004515,3,8,4,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0
A0004935,1,8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
A0005097,2,3,8,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1
A0005645,8,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
A0005910,3,1,8,2,1,1,1,1,0,0,0,0,1,0,1,1,1,1
A0006599,1,2,6,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
A0007678,1,2,8,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0
H0000006,2,8,1,3,1,1,1,1,1,1,0,0,1,0,1,0,0,1
H0000171,1,7,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
H0000830,1,4,8,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1
H0001389,8,7,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
H0001465,1,4,9,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0
H0001733,2,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
H0001735,1,7,2,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0
H0001806,1,2,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1
H0002118,3,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
H0002605,8,3,2,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0
H0003250,8,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
H0003619,2,3,11,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0
H0003801,8,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
H0004053,2,1,3,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
H0004453,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H0004485,8,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
H0004942,1,4,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
H0005073,3,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0005304,1,2,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
H0005491,2,1,8,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
H0005716,2,8,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
H0005974,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0006685,4,6,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
H0006699,1,8,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
H0006835,2,1,3,3,0,0,1,1,0,1,1,1,0,0,0,0,1,0
H0006927,3,8,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
H0008079,2,1,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
H0009893,1,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
H0009966,1,6,4,2,0,0,0,1,0,1,1,1,0,0,1,0,0,0
H0010352,2,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H0010542,8,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
H0010678,1,2,3,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1
H0011071,8,1,9,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
H0011203,8,1,2,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1
H0011330,3,9,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1
H0011475,1,9,2,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1
H0012769,4,3,9,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0
H0013007,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
H0013219,3,1,4,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
H0013475,2,8,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
H0013550,1,2,9,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
H0013957,1,2,9,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
H0014038,9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
H0014483,2,3,1,3,0,1,1,0,0,0,1,0,1,1,0,1,0,0
H0014507,6,1,8,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
H0014731,3,1,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
H0015159,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
H0015170,4,9,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
H0015460,1,2,8,6,1,0,1,0,0,0,1,0,1,1,0,1,0,1
H0015466,2,6,8,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
H0016463,1,9,8,3,1,1,0,1,1,1,1,0,1,0,1,1,1,1
H0016747,3,4,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0
H0016967,2,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
H0017106,3,2,9,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
H0018040,3,9,8,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
H0018428,2,3,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
H0018563,2,1,9,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0
H0018776,6,1,9,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0
H0020026,2,4,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
H0020101,6,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
H0020306,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
H0020726,2,9,1,2,1,1,1,1,0,0,0,0,1,0,0,0,1,1
H0021173,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H0021250,1,9,8,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0
H0021285,3,4,8,3,0,1,0,1,0,1,0,1,0,0,0,0,0,0
H0021439,1,6,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
H0021608,9,5,7,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0
